	cog	ko	ko_name
65	COG0358	K02316	DNA primase [EC:2.7.7.101]
66	COG0582	K14059	integrase
67	COG0104	K01939	adenylosuccinate synthase [EC:6.3.4.4]
68	COG0341	K03074	preprotein translocase subunit SecF
69	COG0342	K12257	SecD/SecF fusion protein
70	COG1344	K02406	flagellin
71	COG0789	K22491	MerR family transcriptional regulator, light-induced transcriptional regulator
72	COG2870	K03272	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
73	COG0615	K03272	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
74	COG0541	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]
75	COG0228	K02959	small subunit ribosomal protein S16
76	COG1837	K06960	uncharacterized protein
77	COG0806	K02860	16S rRNA processing protein RimM
78	COG0336	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
79	COG0335	K02884	large subunit ribosomal protein L19
80	COG4206	K16092	vitamin B12 transporter
81	COG4191	K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]
82	COG2984	K01989	putative tryptophan/tyrosine transport system substrate-binding protein
83	COG2951	K08305	membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
84	COG0860	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
85	COG0796	K01776	glutamate racemase [EC:5.1.1.3]
86	COG0285	K11754	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
87	COG1158	K03628	transcription termination factor Rho
88	COG1624	K18672	diadenylate cyclase [EC:2.7.7.85]
89	COG1214	K14742	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
90	COG0802	K06925	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
91	COG2204	K07714	two-component system, NtrC family, response regulator AtoC
92	COG5495	K06988	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]
93	COG1559	K07082	UPF0755 protein
94	COG0210	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
95	COG0157	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
96	COG0642	K11527	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
97	COG2205	K11527	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]
98	COG0745	K07658	two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP
99	COG1449	K16149	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
100	COG1543	K16149	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
101	COG1085	K00965	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
102	COG0446	K17218	sulfide:quinone oxidoreductase [EC:1.8.5.4]
103	COG4577	K04027	ethanolamine utilization protein EutM
104	COG0451	K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]
105	COG1762	K02806	nitrogen PTS system EIIA component [EC:2.7.1.-]
106	COG0084	K03424	TatD DNase family protein [EC:3.1.21.-]
107	COG0535	K22227	AdoMet-dependent heme synthase [EC:1.3.98.6]
108	COG3005	K15876	cytochrome c nitrite reductase small subunit
109	COG2864	K00127	formate dehydrogenase subunit gamma
110	COG0484	K03686	molecular chaperone DnaJ
111	COG1187	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
112	COG0330	K17286	erythrocyte band 7 integral membrane protein
113	COG1030	K07403	membrane-bound serine protease (ClpP class)
114	COG1921	K01042	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]
115	COG1032	K04034	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]
116	COG0612	K07263	zinc protease [EC:3.4.24.-]
117	COG0526	K02199	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
118	COG0616	K04773	protease IV [EC:3.4.21.-]
119	COG0714	K03924	MoxR-like ATPase [EC:3.6.3.-]
120	COG0820	K06941	23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
121	COG1305	K22452	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13]
122	COG4976	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
123	COG2755	K10804	acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]
124	COG3169	K09922	uncharacterized protein
125	COG0586	K03975	membrane-associated protein
126	COG1752	K07001	NTE family protein
127	COG1249	K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4]
128	COG1740	K06282	hydrogenase small subunit [EC:1.12.99.6]
129	COG0374	K06281	hydrogenase large subunit [EC:1.12.99.6]
130	COG1969	K03620	Ni/Fe-hydrogenase 1 B-type cytochrome subunit
131	COG0680	K03605	hydrogenase maturation protease [EC:3.4.23.-]
132	COG0321	K03801	lipoyl(octanoyl) transferase [EC:2.3.1.181]
133	COG0265	K04771	serine protease Do [EC:3.4.21.107]
134	COG0470	K02341	DNA polymerase III subunit delta' [EC:2.7.7.7]
135	COG0025	K03316	monovalent cation:H+ antiporter, CPA1 family
136	COG0500	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
137	COG2226	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
138	COG0640	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
139	COG1040	K02242	competence protein ComFC
140	COG0006	K01271	Xaa-Pro dipeptidase [EC:3.4.13.9]
141	COG0237	K00859	dephospho-CoA kinase [EC:2.7.1.24]
142	COG0149	K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]
143	COG0126	K00927	phosphoglycerate kinase [EC:2.7.2.3]
144	COG0057	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
145	COG0191	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
146	COG2402	K07065	uncharacterized protein
147	COG0205	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
148	COG4552	K03824	putative acetyltransferase [EC:2.3.1.-]
149	COG1656	K09122	uncharacterized protein
150	COG0606	K07391	magnesium chelatase family protein
151	COG1216	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]
152	COG0438	K00754	L-malate glycosyltransferase [EC:2.4.1.-]
153	COG0771	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
154	COG0254	K02909	large subunit ribosomal protein L31
155	COG0004	K03320	ammonium transporter, Amt family
156	COG1012	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
157	COG0160	K00823	4-aminobutyrate aminotransferase [EC:2.6.1.19]
158	COG4641	K06320	spore maturation protein CgeB
159	COG1028	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
160	COG1295	K07058	membrane protein
161	COG3408	K05989	alpha-L-rhamnosidase [EC:3.2.1.40]
162	COG1899	K00809	deoxyhypusine synthase [EC:2.5.1.46]
163	COG1619	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
164	COG0552	K03110	fused signal recognition particle receptor
165	COG0061	K00858	NAD+ kinase [EC:2.7.1.23]
166	COG1154	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
167	COG1722	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
168	COG1570	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
169	COG0622	K07095	uncharacterized protein
170	COG0776	K03530	DNA-binding protein HU-beta
171	COG1388	K08307	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
172	COG0741	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]
173	COG0737	K11751	5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
174	COG0347	K04751	nitrogen regulatory protein P-II 1
175	COG0591	K03307	solute:Na+ symporter, SSS family
176	COG1972	K03317	concentrative nucleoside transporter, CNT family
177	COG1816	K01488	adenosine deaminase [EC:3.5.4.4]
178	COG2374	K07004	uncharacterized protein
179	COG3420	K07218	nitrous oxidase accessory protein
180	COG2133	K21430	aldose sugar dehydrogenase [EC:1.1.5.-]
181	COG3070	K07343	DNA transformation protein and related proteins
182	COG2227	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
183	COG1162	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
184	COG3153	K03824	putative acetyltransferase [EC:2.3.1.-]
185	COG1403	K07451	5-methylcytosine-specific restriction enzyme A [EC:3.1.21.-]
186	COG2885	K03286	OmpA-OmpF porin, OOP family
187	COG0823	K03641	TolB protein
188	COG0457	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]
189	COG4409	K01186	sialidase-1 [EC:3.2.1.18]
190	COG0426	K22405	NADH oxidase (H2O-forming) [EC:1.6.3.4]
191	COG0251	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
192	COG0053	K13283	ferrous-iron efflux pump FieF
193	COG0262	K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
194	COG0124	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]
195	COG0181	K01749	hydroxymethylbilane synthase [EC:2.5.1.61]
196	COG1587	K13542	uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]
197	COG0407	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]
198	COG0635	K21936	anaerobilin synthase [EC:2.1.1.342]
199	COG0276	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.98.1.1 4.99.1.9]
200	COG1232	K00231	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
201	COG0373	K02492	glutamyl-tRNA reductase [EC:1.2.1.70]
202	COG0113	K01698	porphobilinogen synthase [EC:4.2.1.24]
203	COG0001	K01845	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
204	COG0746	K03752	molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
205	COG1763	K03753	molybdopterin-guanine dinucleotide biosynthesis adapter protein
206	COG1213	K01009	L-glutamine-phosphate cytidylyltransferase [EC:2.7.7.103]
207	COG0641	K06871	uncharacterized protein
208	COG1082	K03079	L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
209	COG0243	K08352	thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]
210	COG2356	K01150	deoxyribonuclease I [EC:3.1.21.1]
211	COG0724	K13195	cold-inducible RNA-binding protein
212	COG1073	K06889	uncharacterized protein
213	COG0038	K03281	chloride channel protein, CIC family
214	COG0253	K01778	diaminopimelate epimerase [EC:5.1.1.7]
215	COG0456	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
216	COG0454	K03789	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
217	COG2208	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
218	COG5485	K15945	C-1 hydroxylase
219	COG1409	K03651	3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]
220	COG0664	K10914	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
221	COG1278	K03704	cold shock protein
222	COG1515	K05982	deoxyribonuclease V [EC:3.1.21.7]
223	COG1922	K05946	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]
224	COG2086	K03521	electron transfer flavoprotein beta subunit
225	COG2025	K03522	electron transfer flavoprotein alpha subunit
226	COG0644	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]
227	COG2440	K00311	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
228	COG1262	K13444	formylglycine-generating enzyme [EC:1.8.3.7]
229	COG3386	K01053	gluconolactonase [EC:3.1.1.17]
230	COG3693	K01181	endo-1,4-beta-xylanase [EC:3.2.1.8]
231	COG0455	K04562	flagellar biosynthesis protein FlhG
232	COG4758	K11622	lia operon protein LiaF
233	COG0729	K07278	translocation and assembly module TamA
234	COG1595	K03088	RNA polymerase sigma-70 factor, ECF subfamily
235	COG0339	K01414	oligopeptidase A [EC:3.4.24.70]
236	COG0384	K06998	trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
237	COG3462	K08982	putative membrane protein
238	COG2020	K21310	methanethiol S-methyltransferase [EC:2.1.1.334]
239	COG0248	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]
240	COG1420	K03705	heat-inducible transcriptional repressor
241	COG0576	K03687	molecular chaperone GrpE
242	COG0742	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
243	COG0030	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
244	COG2239	K06213	magnesium transporter
245	COG1381	K03584	DNA repair protein RecO (recombination protein O)
246	COG0758	K04096	DNA processing protein
247	COG3118	K03672	thioredoxin 2 [EC:1.8.1.8]
248	COG2148	K03606	undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]
249	COG0859	K02843	lipopolysaccharide heptosyltransferase II [EC:2.4.99.24]
250	COG0473	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
251	COG0854	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]
252	COG1419	K02404	flagellar biosynthesis protein FlhF
253	COG1418	K18682	ribonucrease Y [EC:3.1.-.-]
254	COG0637	K01838	beta-phosphoglucomutase [EC:5.4.2.6]
255	COG0158	K03841	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
256	COG1975	K07402	xanthine dehydrogenase accessory factor
257	COG2259	K15977	putative oxidoreductase
258	COG1091	K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
259	COG2835	K09791	uncharacterized protein
260	COG1160	K03977	GTPase
261	COG1956	K08968	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]
262	COG0281	K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
263	COG0614	K02016	iron complex transport system substrate-binding protein
264	COG0209	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
265	COG0846	K12410	NAD-dependent deacetylase [EC:2.3.1.286]
266	COG2866	K05996	carboxypeptidase T [EC:3.4.17.18]
267	COG0753	K03781	catalase [EC:1.11.1.6]
268	COG2010	K00406	cytochrome c oxidase cbb3-type subunit III
269	COG1924	K04114	benzoyl-CoA reductase subunit A [EC:1.3.7.8]
270	COG1775	K04112	benzoyl-CoA reductase subunit C [EC:1.3.7.8]
271	COG0218	K03978	GTP-binding protein
272	COG0466	K01338	ATP-dependent Lon protease [EC:3.4.21.53]
273	COG3769	K07026	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]
274	COG0375	K04651	hydrogenase nickel incorporation protein HypA/HybF
275	COG0378	K04652	hydrogenase nickel incorporation protein HypB
276	COG0613	K07053	3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]
277	COG3104	K03305	proton-dependent oligopeptide transporter, POT family
278	COG0620	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
279	COG0646	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
280	COG0685	K00297	methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
281	COG1414	K13641	IclR family transcriptional regulator, acetate operon repressor
282	COG0252	K01424	L-asparaginase [EC:3.5.1.1]
283	COG2244	K03328	polysaccharide transporter, PST family
284	COG1810	K22882	thymidylate synthase [EC:2.1.1.-]
285	COG1456	K00197	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
286	COG2069	K00194	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
287	COG3640	K07321	CO dehydrogenase maturation factor
288	COG1506	K01303	acylaminoacyl-peptidase [EC:3.4.19.1]
289	COG3303	K03385	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
290	COG0421	K00797	spermidine synthase [EC:2.5.1.16]
291	COG4818	K09940	uncharacterized protein
292	COG0442	K01881	prolyl-tRNA synthetase [EC:6.1.1.15]
293	COG1309	K09017	TetR/AcrR family transcriptional regulator
294	COG3829	K02584	Nif-specific regulatory protein
295	COG0247	K11473	glycolate oxidase iron-sulfur subunit
296	COG2181	K00374	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
297	COG0437	K00184	dimethyl sulfoxide reductase iron-sulfur subunit
298	COG5557	K00185	dimethyl sulfoxide reductase membrane subunit
299	COG3852	K13587	two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
300	COG5000	K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
301	COG1538	K12340	outer membrane protein
302	COG0845	K02005	HlyD family secretion protein
303	COG3696	K07787	copper/silver efflux system protein
304	COG0841	K03296	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
305	COG4608	K10823	oligopeptide transport system ATP-binding protein
306	COG0444	K15583	oligopeptide transport system ATP-binding protein
307	COG1173	K02034	peptide/nickel transport system permease protein
308	COG0601	K02033	peptide/nickel transport system permease protein
309	COG0747	K02035	peptide/nickel transport system substrate-binding protein
310	COG3501	K11904	type VI secretion system secreted protein VgrG
311	COG0542	K03696	ATP-dependent Clp protease ATP-binding subunit ClpC
312	COG3520	K11895	type VI secretion system protein ImpH
313	COG3519	K11896	type VI secretion system protein ImpG
314	COG3518	K11897	type VI secretion system protein ImpF
315	COG3157	K11903	type VI secretion system secreted protein Hcp
316	COG3517	K11900	type VI secretion system protein ImpC
317	COG3516	K11901	type VI secretion system protein ImpB
318	COG3515	K11902	type VI secretion system protein ImpA
319	COG0674	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
320	COG2827	K07461	putative endonuclease
321	COG1013	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
322	COG1708	K07076	uncharacterized protein
323	COG2333	K02238	competence protein ComEC
324	COG0123	K11407	histone deacetylase 6 [EC:3.5.1.98]
325	COG0348	K02574	ferredoxin-type protein NapH
326	COG1994	K06402	stage IV sporulation protein FB [EC:3.4.24.-]
327	COG0517	K04767	acetoin utilization protein AcuB
328	COG5592	K07322	regulator of cell morphogenesis and NO signaling
329	COG0412	K01061	carboxymethylenebutenolidase [EC:3.1.1.45]
330	COG2312	K06880	erythromycin esterase [EC:3.1.1.-]
331	COG1793	K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
332	COG3285	K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
333	COG0296	K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
334	COG3280	K06044	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
335	COG2957	K10536	agmatine deiminase [EC:3.5.3.12]
336	COG4122	K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
337	COG0394	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]
338	COG2403	K05716	cyclic 2,3-diphosphoglycerate synthase [EC:6.5.1.9]
339	COG0549	K00926	carbamate kinase [EC:2.7.2.2]
340	COG0045	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
341	COG0074	K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
342	COG1146	K05524	ferredoxin
343	COG1014	K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
344	COG0105	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]
345	COG1250	K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
346	COG0282	K00925	acetate kinase [EC:2.7.2.1]
347	COG0543	K02823	dihydroorotate dehydrogenase electron transfer subunit
348	COG0493	K00266	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
349	COG1399	K07040	DUF177 domain-containing protein
350	COG0333	K02911	large subunit ribosomal protein L32
351	COG0416	K03621	phosphate acyltransferase [EC:2.3.1.274]
352	COG0332	K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
353	COG0331	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
354	COG0236	K02078	acyl carrier protein
355	COG0304	K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
356	COG0571	K03685	ribonuclease III [EC:3.1.26.3]
357	COG1960	K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]
358	COG0234	K04078	chaperonin GroES
359	COG0459	K04077	chaperonin GroEL
360	COG1614	K14138	acetyl-CoA synthase [EC:2.3.1.169]
361	COG1251	K00362	nitrite reductase (NADH) large subunit [EC:1.7.1.15]
362	COG1529	K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
363	COG1142	K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
364	COG0369	K05601	hydroxylamine reductase [EC:1.7.99.1]
365	COG1151	K05601	hydroxylamine reductase [EC:1.7.99.1]
366	COG2203	K07814	cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
367	COG5002	K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]
368	COG3437	K07814	cyclic di-GMP phosphodiesterase [EC:3.1.4.-]
369	COG2103	K07106	N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]
370	COG1629	K16089	outer membrane receptor for ferrienterochelin and colicins
371	COG4771	K16089	outer membrane receptor for ferrienterochelin and colicins
372	COG1075	K01046	triacylglycerol lipase [EC:3.1.1.3]
373	COG0224	K02115	F-type H+-transporting ATPase subunit gamma
374	COG0463	K00721	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
375	COG0663	K01726	gamma-carbonic anhydrase [EC:4.2.1.-]
376	COG2030	K17865	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
377	COG2301	K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
378	COG1541	K01912	phenylacetate-CoA ligase [EC:6.2.1.30]
379	COG0810	K03832	periplasmic protein TonB
380	COG5305	K14340	mannosyltransferase [EC:2.4.1.-]
381	COG3315	K19570	8-demethyl-8-(2,3,4-trimethoxy-alpha-L-rhamnosyl)tetracenomycin-C O-methyltransferase [EC:2.1.1.-]
382	COG1852	K09729	uncharacterized protein
