Species	gtdb_taxonomy	genus	sp	accession	gtdb_type_species_of_genus	Oxygen tolerance raw	Oxygen tolerance	random_id
Anaerovibrio lipolyticus	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio lipolyticus	g__Anaerovibrio	s__Anaerovibrio lipolyticus	RS_GCF_900141865.1	t	anaerobe	anaerobe	5537
Paraglaciecola mesophila	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Paraglaciecola;s__Paraglaciecola mesophila	g__Paraglaciecola	s__Paraglaciecola mesophila	RS_GCF_000315015.1	t	aerobe	aerobe	5537
Schwartzia succinivorans	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	g__Schwartzia	s__Schwartzia succinivorans	RS_GCF_900129225.1	t	anaerobe	anaerobe	5534
Limnohabitans curvus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans;s__Limnohabitans curvus	g__Limnohabitans	s__Limnohabitans curvus	RS_GCF_003063475.1	t	aerobe,facultative anaerobe	aerobe	5523
Mangrovicoccus ximenensis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Mangrovicoccus;s__Mangrovicoccus ximenensis	g__Mangrovicoccus	s__Mangrovicoccus ximenensis	RS_GCF_003056725.1	t	aerobe	aerobe	5522
Cnuibacter physcomitrellae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Cnuibacter;s__Cnuibacter physcomitrellae	g__Cnuibacter	s__Cnuibacter physcomitrellae	GB_GCA_014640535.1	t	obligate aerobe	aerobe	5519
Anaerobiospirillum succiniciproducens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	g__Anaerobiospirillum	s__Anaerobiospirillum succiniciproducens	RS_GCF_000482845.1	t	anaerobe	anaerobe	5514
Miniimonas arenae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Beutenbergiaceae;g__Miniimonas;s__Miniimonas arenae	g__Miniimonas	s__Miniimonas arenae	RS_GCF_006351005.1	t	aerobe,microaerophile	aerobe	5490
Marinifilum fragile	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Marinifilum;s__Marinifilum fragile	g__Marinifilum	s__Marinifilum fragile	RS_GCF_001310955.1	t	facultative anaerobe	aerobe	5486
Kosakonia cowanii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia cowanii	g__Kosakonia	s__Kosakonia cowanii	RS_GCF_001975225.1	t	aerobe	aerobe	5485
Rosenbergiella nectarea	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rosenbergiella;s__Rosenbergiella nectarea	g__Rosenbergiella	s__Rosenbergiella nectarea	RS_GCF_900111105.1	t	facultative anaerobe	aerobe	5481
Aestuariivirga litoralis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__Aestuariivirga litoralis	g__Aestuariivirga	s__Aestuariivirga litoralis	RS_GCF_003234965.1	t	aerobe	aerobe	5472
Halobacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Halobacillaceae;g__Halobacillus;s__Halobacillus halophilus	g__Halobacillus	s__Halobacillus halophilus	RS_GCF_000284515.1	t	obligate aerobe	aerobe	5470
Ephemeroptericola cinctiostellae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydromonas;s__Hydromonas cinctiostellae	g__Hydromonas	s__Hydromonas cinctiostellae	RS_GCF_003339525.1	t	facultative anaerobe	aerobe	5461
Gilliamella apicola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Gilliamella;s__Gilliamella apicola	g__Gilliamella	s__Gilliamella apicola	RS_GCF_000599985.1	t	microaerophile	aerobe	5459
Alkalicoccus saliphilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_H;f__Salisediminibacteriaceae;g__Alkalicoccus;s__Alkalicoccus saliphilus	g__Alkalicoccus	s__Alkalicoccus saliphilus	RS_GCF_003044065.1	t	aerobe,obligate aerobe	aerobe	5458
Sediminispirochaeta bajacaliforniensis	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__DSM-16054;f__Sediminispirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta bajacaliforniensis	g__Sediminispirochaeta	s__Sediminispirochaeta bajacaliforniensis	RS_GCF_000378205.1	t	anaerobe	anaerobe	5452
Ewingella americana	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Ewingella;s__Ewingella americana	g__Ewingella	s__Ewingella americana	RS_GCF_000735345.1	t	aerobe	aerobe	5445
Murinocardiopsis flavida	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Murinocardiopsis;s__Murinocardiopsis flavida	g__Murinocardiopsis	s__Murinocardiopsis flavida	RS_GCF_003014485.1	t	aerobe	aerobe	5441
Avibacterium gallinarum	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Avibacterium;s__Avibacterium gallinarum	g__Avibacterium	s__Avibacterium gallinarum	RS_GCF_002921135.1	t	microaerophile	aerobe	5432
Falsochrobactrum ovis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Falsochrobactrum;s__Falsochrobactrum ovis	g__Falsochrobactrum	s__Falsochrobactrum ovis	RS_GCF_003259955.1	t	aerobe	aerobe	5431
Thalassobius mediterraneus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;s__Thalassobius mediterraneus	g__Thalassobius	s__Thalassobius mediterraneus	RS_GCF_001458435.1	t	aerobe	aerobe	5424
Algiphilus aromaticivorans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Algiphilaceae;g__Algiphilus;s__Algiphilus aromaticivorans	g__Algiphilus	s__Algiphilus aromaticivorans	RS_GCF_000733765.1	t	aerobe	aerobe	5423
Cellulosilyticum ruminicola	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum ruminicola	g__Cellulosilyticum	s__Cellulosilyticum ruminicola	RS_GCF_001311925.1	t	anaerobe	anaerobe	5418
Thermosphaera aggregans	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera aggregans	g__Thermosphaera	s__Thermosphaera aggregans	RS_GCF_000092185.1	t	anaerobe	anaerobe	5415
Basfia succiniciproducens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia;s__Basfia succiniciproducens	g__Basfia	s__Basfia succiniciproducens	RS_GCF_011455875.1	t	aerobe,microaerophile,facultative anaerobe	aerobe	5415
Thermosipho africanus	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho africanus	g__Thermosipho	s__Thermosipho africanus	RS_GCF_003351105.1	t	anaerobe	anaerobe	5409
Paramaledivibacter caminithermalis	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Paramaledivibacter;s__Paramaledivibacter caminithermalis	g__Paramaledivibacter	s__Paramaledivibacter caminithermalis	RS_GCF_900142245.1	t	anaerobe	anaerobe	5407
Cellulophaga lytica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Cellulophaga;s__Cellulophaga lytica	g__Cellulophaga	s__Cellulophaga lytica	RS_GCF_000190595.1	t	aerobe	aerobe	5393
Zobellella denitrificans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Zobellella;s__Zobellella denitrificans	g__Zobellella	s__Zobellella denitrificans	RS_GCF_002237365.1	t	facultative anaerobe	aerobe	5379
Sulfitobacter pontiacus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus	g__Sulfitobacter	s__Sulfitobacter pontiacus	RS_GCF_900106935.1	t	aerobe	aerobe	5373
Falsibacillus pallidus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__DSM-25281;g__Falsibacillus;s__Falsibacillus pallidus	g__Falsibacillus	s__Falsibacillus pallidus	RS_GCF_003350505.1	t	aerobe	aerobe	5373
Herminiimonas fonticola	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__Herminiimonas fonticola	g__Herminiimonas	s__Herminiimonas fonticola	RS_GCF_003293745.1	t	aerobe	aerobe	5358
Syntrophaceticus schinkii	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Syntrophaceticus;s__Syntrophaceticus schinkii	g__Syntrophaceticus	s__Syntrophaceticus schinkii	RS_GCF_000946815.1	t	anaerobe	anaerobe	5356
Sporomusa sphaeroides	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Sporomusales;f__Sporomusaceae;g__Sporomusa;s__Sporomusa sphaeroides	g__Sporomusa	s__Sporomusa sphaeroides	RS_GCF_001941975.1	t	anaerobe	anaerobe	5350
Arsenophonus nasoniae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Arsenophonus;s__Arsenophonus nasoniae	g__Arsenophonus	s__Arsenophonus nasoniae	RS_GCF_000429565.1	t	aerobe	aerobe	5349
Sediminibacillus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_D;f__Amphibacillaceae;g__Sediminibacillus;s__Sediminibacillus halophilus	g__Sediminibacillus	s__Sediminibacillus halophilus	RS_GCF_900103695.1	t	facultative anaerobe	aerobe	5341
Gracilimonas tropica	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__Gracilimonas tropica	g__Gracilimonas	s__Gracilimonas tropica	RS_GCF_000375425.1	t	aerobe	aerobe	5335
Herbihabitans rhizosphaerae	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Herbihabitans;s__Herbihabitans rhizosphaerae	g__Herbihabitans	s__Herbihabitans rhizosphaerae	RS_GCF_004216555.1	t	aerobe	aerobe	5333
Pelagivirga sediminicola	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__Roseovarius sediminicola	g__Roseovarius	s__Roseovarius sediminicola	RS_GCF_003072125.1	t	aerobe	aerobe	5328
Amedibacillus dolichus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus;s__Amedibacillus dolichus	g__Amedibacillus	s__Amedibacillus dolichus	RS_GCF_000154285.1	t	anaerobe	anaerobe	5318
Rubellimicrobium thermophilum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubellimicrobium;s__Rubellimicrobium thermophilum	g__Rubellimicrobium	s__Rubellimicrobium thermophilum	RS_GCF_000442315.1	t	aerobe	aerobe	5312
Porphyromonas asaccharolytica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica	g__Porphyromonas	s__Porphyromonas asaccharolytica	RS_GCF_000212375.1	t	anaerobe	anaerobe	5304
Marivita cryptomonadis	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__Marivita cryptomonadis	g__Marivita	s__Marivita cryptomonadis	RS_GCF_002115725.1	t	aerobe	aerobe	5303
Thermasporomyces composti	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Actinopolymorphaceae;g__Thermasporomyces;s__Thermasporomyces composti	g__Thermasporomyces	s__Thermasporomyces composti	RS_GCF_003386795.1	t	aerobe	aerobe	5303
Malonomonas rubra	d__Bacteria;p__Desulfobacterota_F;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Malonomonas;s__Malonomonas rubra	g__Malonomonas	s__Malonomonas rubra	RS_GCF_900142125.1	t	anaerobe	anaerobe	5297
Desulfotignum balticum	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__Desulfotignum balticum	g__Desulfotignum	s__Desulfotignum balticum	RS_GCF_000421285.1	t	anaerobe	anaerobe	5294
Magnetococcus marinus	d__Bacteria;p__Proteobacteria;c__Magnetococcia;o__Magnetococcales;f__Magnetococcaceae;g__Magnetococcus;s__Magnetococcus marinus	g__Magnetococcus	s__Magnetococcus marinus	RS_GCF_000014865.1	t	microaerophile	aerobe	5293
Bogoriella caseilytica	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Bogoriella;s__Bogoriella caseilytica	g__Bogoriella	s__Bogoriella caseilytica	RS_GCF_003752405.1	t	aerobe,microaerophile	aerobe	5290
Aurantimonas coralicida	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aurantimonas;s__Aurantimonas coralicida	g__Aurantimonas	s__Aurantimonas coralicida	RS_GCF_000421645.1	t	aerobe	aerobe	5286
